1	United States	       18,840,000
2	European Union	       13,250,000
3	China	        9,790,000
4	Japan	        4,464,000
5	Russia	        3,341,000
6	India	        3,292,000
7	Saudi Arabia	        2,817,000
8	Brazil	        2,594,000
9	Germany	        2,400,000
10	Korea, South	        2,260,000
11	Canada	        2,259,000
12	Mexico	        2,133,000
13	France	        1,792,000
14	Iran	        1,694,000
15	United Kingdom	        1,608,000
16	Italy	        1,454,000
17	Spain	        1,384,000
18	Indonesia	        1,322,000
19	Singapore	        1,250,000
20	Australia	        1,023,000
21	Netherlands	        1,010,000
22	Iraq	         818,000
23	Egypt	         816,300
24	Taiwan	         786,100
25	Thailand	         721,100
26	Turkey	         706,100
27	Argentina	         678,100
28	Belgium	         644,400
29	South Africa	         590,900
30	Poland	         576,600
31	United Arab Emirates	         572,100
32	Venezuela	         571,000
33	Malaysia	         542,900
34	Pakistan	         426,700
35	Greece	         343,400
36	Kuwait	         339,000
37	Hong Kong	         337,600
38	Chile	         321,700
39	Ukraine	         320,600
40	Algeria	         316,400
41	Sweden	         316,000
42	Philippines	         315,600
43	Libya	         314,000
44	Colombia	         287,000
45	Ecuador	         280,000
46	Nigeria	         271,600
47	Vietnam	         259,900
48	Portugal	         259,700
49	Syria	         258,800
50	Switzerland	         258,200
51	Norway	         255,200
52	Kazakhstan	         244,200
53	Israel	         238,400
54	Romania	         218,200
55	Austria	         210,700
56	Peru	         206,900
57	Finland	         204,800
58	Morocco	         203,600
59	Czech Republic	         199,000
60	Belarus	         188,800
61	Yemen	         177,000
62	Qatar	         169,900
63	Azerbaijan	         168,000
64	Denmark	         160,200
65	Puerto Rico	         151,600
66	Cuba	         150,200
67	New Zealand	         148,900
68	Turkmenistan	         145,000
69	Ireland	         144,000
70	Hungary	         141,100
71	Uzbekistan	         137,100
72	Dominican Republic	         122,300
73	Bulgaria	         112,700
74	Bangladesh	         108,900
75	Jordan	         107,000
76	Lebanon	         106,700
77	Virgin Islands	         106,100
78	Panama	          98,890
79	Oman	          98,000
80	Sudan	          95,450
81	Sri Lanka	          89,620
82	Tunisia	          88,380
83	Slovakia	          83,910
84	Serbia	          81,440
85	Guatemala	          80,810
86	Angola	          79,430
87	Kenya	          79,410
88	Jamaica	          78,520
89	Croatia	          74,410
90	Curacao	          72,000
91	Lithuania	          70,390
92	Ghana	          61,590
93	Luxembourg	          61,380
94	Cyprus	          58,430
95	Honduras	          58,150
96	Slovenia	          52,930
97	Bahrain	          51,450
98	Uruguay	          51,100
99	Costa Rica	          50,200
100	Ethiopia	          49,080
101	Bolivia	          45,840
102	Tajikistan	          45,810
103	Armenia	          45,300
104	El Salvador	          44,040
105	Tanzania	          43,310
106	Trinidad and Tobago	          41,000
107	Burma	          40,620
108	Senegal	          40,600
109	Cambodia	          39,350
110	Albania	          38,390
111	Papua New Guinea	          36,320
112	Bahamas, The	          36,300
113	Latvia	          31,340
114	Nicaragua	          30,690
115	Cameroon	          29,410
116	West Bank	          29,310
117	Benin	          29,170
118	Togo	          28,670
119	Bosnia and Herzegovina	          27,540
120	Paraguay	          26,820
121	Estonia	          26,340
122	Gibraltar	          24,920
123	Mauritius	          24,710
124	Cote d'Ivoire	          24,630
125	Namibia	          22,990
126	Mongolia	          21,610
127	Iceland	          20,770
128	Mozambique	          19,580
129	Malta	          19,520
130	Zambia	          19,260
131	Zimbabwe	          19,030
132	Nepal	          18,430
133	Mauritania	          18,120
134	Moldova	          18,060
135	Fiji	          17,810
136	Macedonia	          17,490
137	Madagascar	          17,480
138	Georgia	          17,280
139	Uganda	          16,930
140	Kyrgyzstan	          16,640
141	Gabon	          15,800
142	Botswana	          15,420
143	Korea, North	          15,070
144	Brunei	          14,640
145	Guam	          14,490
146	Suriname	          14,100
147	Haiti	          14,000
148	New Caledonia	          13,640
149	Djibouti	          12,460
150	Malawi	          12,060
151	Guyana	          10,910
152	Congo, Republic of the	          10,710
153	Congo, Democratic Republic of the	          10,240
154	Burkina Faso	           9,960
155	Sierra Leone	           8,768
156	Guinea	           8,671
157	Barbados	           8,339
158	French Polynesia	           8,000
159	Seychelles	           7,793
160	Macau	           7,522
161	Belize	           7,044
162	Maldives	           6,875
163	Aruba	           5,661
164	Somalia	           5,659
165	Niger	           5,629
166	Rwanda	           5,245
167	American Samoa	           5,115
168	Antigua and Barbuda	           5,000
169	Mali	           4,994
170	Faroe Islands	           4,871
171	Swaziland	           4,567
172	Eritrea	           4,480
173	Montenegro	           4,446
174	Afghanistan	           4,229
175	Greenland	           3,897
176	Liberia	           3,533
177	Laos	           3,391
178	Gambia, The	           3,181
179	Central African Republic	           3,175
180	Cayman Islands	           3,141
181	Guinea-Bissau	           2,922
182	Saint Lucia	           2,922
183	Grenada	           2,803
184	Timor-Leste	           2,755
185	Bermuda	           2,747
186	Cabo Verde	           2,608
187	Burundi	           2,290
188	Western Sahara	           1,948
189	Saint Vincent and the Grenadines	           1,948
190	Chad	           1,817
191	Lesotho	           1,777
192	Solomon Islands	           1,728
193	Bhutan	           1,719
194	Equatorial Guinea	           1,588
195	Saint Kitts and Nevis	           1,496
196	Tonga	           1,221
197	Vanuatu	           1,170
198	Samoa	           1,070
199	Comoros	           1,025
200	Nauru	           1,000
201	Montserrat	           1,000
202	British Virgin Islands	           1,000
203	Turks and Caicos Islands	            999
204	Cook Islands	            974
205	Saint Pierre and Miquelon	            974
206	Dominica	            918
207	Sao Tome and Principe	            904
208	Falkland Islands (Islas Malvinas)	            300
209	Kiribati	            300
210	Saint Helena, Ascension, and Tristan da Cunha	            100
